HCHO Reading,Location,Current Date,Next Date
0.00012214959843575543,"Bibile, Monaragala",2019-01-01,2019-01-02
1.919914652467399e-05,"Bibile, Monaragala",2019-01-02,2019-01-03
2.811447935930284e-05,"Bibile, Monaragala",2019-01-03,2019-01-04
3.747998184385943e-05,"Bibile, Monaragala",2019-01-04,2019-01-05
-1.7982608793453114e-05,"Bibile, Monaragala",2019-01-05,2019-01-06
0.0001457836896179,"Bibile, Monaragala",2019-01-06,2019-01-07
2.8285908025465342e-05,"Bibile, Monaragala",2019-01-07,2019-01-08
0.00012214959843575543,"Bibile, Monaragala",2019-01-08,2019-01-09
0.000142085016705,"Bibile, Monaragala",2019-01-09,2019-01-10
0.00012214959843575543,"Bibile, Monaragala",2019-01-10,2019-01-11
2.014587947072581e-05,"Bibile, Monaragala",2019-01-11,2019-01-12
0.000158278766321,"Bibile, Monaragala",2019-01-12,2019-01-13
0.00012214959843575543,"Bibile, Monaragala",2019-01-13,2019-01-14
0.00012214959843575543,"Bibile, Monaragala",2019-01-14,2019-01-15
9.952823849642218e-05,"Bibile, Monaragala",2019-01-15,2019-01-16
7.484570960514249e-05,"Bibile, Monaragala",2019-01-16,2019-01-17
7.736112226328797e-05,"Bibile, Monaragala",2019-01-17,2019-01-18
0.00012214959843575543,"Bibile, Monaragala",2019-01-18,2019-01-19
3.9881410104076654e-05,"Bibile, Monaragala",2019-01-19,2019-01-20
0.0001891620203853,"Bibile, Monaragala",2019-01-20,2019-01-21
0.0001159969926423,"Bibile, Monaragala",2019-01-21,2019-01-22
0.0001413523623709,"Bibile, Monaragala",2019-01-22,2019-01-23
7.165379525100222e-05,"Bibile, Monaragala",2019-01-23,2019-01-24
0.00012214959843575543,"Bibile, Monaragala",2019-01-24,2019-01-25
-2.8553898678860067e-05,"Bibile, Monaragala",2019-01-25,2019-01-26
0.00012214959843575543,"Bibile, Monaragala",2019-01-26,2019-01-27
0.000180567368996,"Bibile, Monaragala",2019-01-27,2019-01-28
9.113160086427456e-05,"Bibile, Monaragala",2019-01-28,2019-01-29
7.241739856355372e-05,"Bibile, Monaragala",2019-01-29,2019-01-30
0.00012214959843575543,"Bibile, Monaragala",2019-01-30,2019-01-31
4.098144742473462e-05,"Bibile, Monaragala",2019-01-31,2019-02-01
5.186428352058307e-05,"Bibile, Monaragala",2019-02-01,2019-02-02
0.00012214959843575543,"Bibile, Monaragala",2019-02-02,2019-02-03
0.00012214959843575543,"Bibile, Monaragala",2019-02-03,2019-02-04
0.00012214959843575543,"Bibile, Monaragala",2019-02-04,2019-02-05
0.00012214959843575543,"Bibile, Monaragala",2019-02-05,2019-02-06
1.051353380619686e-05,"Bibile, Monaragala",2019-02-06,2019-02-07
4.076109671524861e-05,"Bibile, Monaragala",2019-02-07,2019-02-08
7.59353421234044e-05,"Bibile, Monaragala",2019-02-08,2019-02-09
0.00012214959843575543,"Bibile, Monaragala",2019-02-09,2019-02-10
7.34858268449358e-05,"Bibile, Monaragala",2019-02-10,2019-02-11
1.0584419214865193e-05,"Bibile, Monaragala",2019-02-11,2019-02-12
6.919795120446755e-05,"Bibile, Monaragala",2019-02-12,2019-02-13
0.00012214959843575543,"Bibile, Monaragala",2019-02-13,2019-02-14
0.00012214959843575543,"Bibile, Monaragala",2019-02-14,2019-02-15
0.0001623480638954,"Bibile, Monaragala",2019-02-15,2019-02-16
2.6644206895973665e-05,"Bibile, Monaragala",2019-02-16,2019-02-17
0.0001362413198283,"Bibile, Monaragala",2019-02-17,2019-02-18
5.895095797941796e-05,"Bibile, Monaragala",2019-02-18,2019-02-19
7.990708924877695e-05,"Bibile, Monaragala",2019-02-19,2019-02-20
8.647263683420719e-05,"Bibile, Monaragala",2019-02-20,2019-02-21
6.580490440211678e-05,"Bibile, Monaragala",2019-02-21,2019-02-22
0.0001173317679715,"Bibile, Monaragala",2019-02-22,2019-02-23
0.0001372664223727,"Bibile, Monaragala",2019-02-23,2019-02-24
0.0001183587731956,"Bibile, Monaragala",2019-02-24,2019-02-25
0.00012214959843575543,"Bibile, Monaragala",2019-02-25,2019-02-26
-4.671209171647206e-05,"Bibile, Monaragala",2019-02-26,2019-02-27
0.00012214959843575543,"Bibile, Monaragala",2019-02-27,2019-02-28
0.00012214959843575543,"Bibile, Monaragala",2019-02-28,2019-03-01
0.00012214959843575543,"Bibile, Monaragala",2019-03-01,2019-03-02
0.0002015221799451,"Bibile, Monaragala",2019-03-02,2019-03-03
0.0002333378601804,"Bibile, Monaragala",2019-03-03,2019-03-04
0.0001130560234093,"Bibile, Monaragala",2019-03-04,2019-03-05
8.923271256196186e-05,"Bibile, Monaragala",2019-03-05,2019-03-06
4.2696494065404425e-05,"Bibile, Monaragala",2019-03-06,2019-03-07
0.0001021544478428,"Bibile, Monaragala",2019-03-07,2019-03-08
0.000104415711202,"Bibile, Monaragala",2019-03-08,2019-03-09
0.00012214959843575543,"Bibile, Monaragala",2019-03-09,2019-03-10
0.0001057629100291,"Bibile, Monaragala",2019-03-10,2019-03-11
0.0001954688702953,"Bibile, Monaragala",2019-03-11,2019-03-12
0.0002339561330231,"Bibile, Monaragala",2019-03-12,2019-03-13
0.00012214959843575543,"Bibile, Monaragala",2019-03-13,2019-03-14
5.33002191604215e-05,"Bibile, Monaragala",2019-03-14,2019-03-15
0.000123402480465,"Bibile, Monaragala",2019-03-15,2019-03-16
9.934245878113424e-05,"Bibile, Monaragala",2019-03-16,2019-03-17
0.00012214959843575543,"Bibile, Monaragala",2019-03-17,2019-03-18
1.3218968888395464e-05,"Bibile, Monaragala",2019-03-18,2019-03-19
0.0001449778092531,"Bibile, Monaragala",2019-03-19,2019-03-20
7.633388390013924e-05,"Bibile, Monaragala",2019-03-20,2019-03-21
